Nest Box,Radial Zone,NLCD Year,Developed m2,Development P,Development %,Natural m2,Natural P,Natural %,Agriculture m2,Agriculture P,Agriculture %,Other m2,Other P,Other %,Total m2,Study Year,Occupancy,Success
1,250,2001,0,0,0,179100,0.917050691,91.71,0,0,0,16200,0.082949309,8.29,195300,2002,0,.
2,250,2001,0,0,0,65700,0.333333333,33.33,9000,0.0456621,4.57,122400,0.621004566,62.1,197100,2002,0,.
3,250,2001,0,0,0,138600,0.706422018,70.64,10800,0.055045872,5.5,46800,0.23853211,23.85,196200,2002,0,.
4,250,2001,0,0,0,85500,0.431818182,43.18,75600,0.381818182,38.18,36900,0.186363636,18.64,198000,2002,0,.
4.1,250,2001,0,0,0,161100,0.813636364,81.36,0,0,0,36900,0.186363636,18.64,198000,2002,.,.
5,250,2001,0,0,0,117000,0.599078341,59.91,0,0,0,78300,0.400921659,40.09,195300,2002,0,.
6,250,2001,0,0,0,122400,0.626728111,62.67,44100,0.225806452,22.58,28800,0.147465438,14.75,195300,2002,0,.
7,250,2001,0,0,0,175500,0.894495413,89.45,1800,0.009174312,0.92,18900,0.096330275,9.63,196200,2002,0,.
8,250,2001,0,0,0,82800,0.420091324,42.01,27000,0.136986301,13.7,87300,0.442922374,44.29,197100,2002,0,.
9,250,2001,0,0,0,171000,0.863636364,86.36,0,0,0,27000,0.136363636,13.64,198000,2002,0,.
9.1,250,2001,0,0,0,153000,0.776255708,77.63,25200,0.127853881,12.79,18900,0.095890411,9.59,197100,2002,.,.
9.2,250,2001,0,0,0,114300,0.585253456,58.53,20700,0.105990783,10.6,60300,0.30875576,30.88,195300,2002,.,.
10,250,2001,0,0,0,145800,0.743119266,74.31,0,0,0,50400,0.256880734,25.69,196200,2002,0,.
10.1,250,2001,0,0,0,58500,0.294117647,29.41,15300,0.076923077,7.69,125100,0.628959276,62.9,198900,2002,.,.
11,250,2001,0,0,0,78300,0.397260274,39.73,0,0,0,118800,0.602739726,60.27,197100,2002,0,.
12,250,2001,0,0,0,61200,0.309090909,30.91,11700,0.059090909,5.91,125100,0.631818182,63.18,198000,2002,0,.
12.1,250,2001,0,0,0,58500,0.295454545,29.55,8100,0.040909091,4.09,131400,0.663636364,66.36,198000,2002,.,.
13,250,2001,0,0,0,70200,0.356164384,35.62,0,0,0,126900,0.643835616,64.38,197100,2002,0,.
